,NO.,NAME OF UNITHOLDER,UNITS,%
,1,DBS NOMINEES (PRIVATE) LIMITED,"225,430,834",20.91
,2,CITIBANK NOMINEES SINGAPORE PTE LTD,"129,145,578",11.98
,3,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"114,166,107",10.59
,4,RAFFLES NOMINEES (PTE.) LIMITED,"47,051,465",4.37
,5,HSBC (SINGAPORE) NOMINEES PTE LTD,"34,292,540",3.18
,6,DBSN SERVICES PTE. LTD.,"32,415,105",3.01
,7,NTUC FAIRPRICE CO-OPERATIVE LTD,"24,072,000",2.23
,8,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,"11,823,980",1.10
,9,MAYBANK KIM ENG SECURITIES PTE. LTD.,"9,891,363",0.92
,10,KGI SECURITIES (SINGAPORE) PTE. LTD.,"8,623,874",0.80
,11,OCBC SECURITIES PRIVATE LIMITED,"8,232,510",0.76
,12,UOB KAY HIAN PRIVATE LIMITED,"7,094,208",0.66
,13,PHILLIP SECURITIES PTE LTD,"7,029,007",0.65
,14,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"6,982,073",0.65
,15,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,"6,014,912",0.56
,16,KO WOON HONG,"5,059,000",0.47
,17,BPSS NOMINEES SINGAPORE (PTE.) LTD.,"5,026,556",0.47
,18,DB NOMINEES (SINGAPORE) PTE LTD,"5,006,200",0.46
,19,ARA REAL ESTATE INVESTORS V LIMITED,"4,948,630",0.46
,20,ABN AMRO CLEARING BANK N.V.,"4,226,917",0.39
,,TOTAL,"696,532,859",64.62
,FREE FLOAT,,,
,,"UNDER  RULE  723  OF  THE  LISTING  MANUAL  OF  THE  SGX-ST,  A  LISTED  ISSUER  MUST  ENSURE  THAT  AT  LEAST  10.0%  OF  ITS  LISTED",,
,,"SECURITIES IS AT ALL TIMES HELD BY THE PUBLIC. BASED ON THE INFORMATION AVAILABLE TO THE MANAGER AS AT 7 MARCH 2019,",,
,APPROXIMATELY 89.9% OF THE UNITS IN CACHE ARE HELD IN PUBLIC HANDS.,,,
