NO.,SHAREHOLDER’S NAME,SHARES HELD,%
1,CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,"286,362,406",13.68
2,CITIBANK NOMINEES SINGAPORE PTE LTD,"96,448,832",4.61
3,KUAH ANN THIA,"85,000,000",4.06
4,BIOMEDICAL SCIENCES INVESTMENT FUND PTE LTD,"66,596,116",3.18
5,DBS NOMINEES PTE LTD,"61,176,297",2.92
6,EITAN KONSTANTINO,"59,189,562",2.83
7,LIM CHEE SAN,"55,000,000",2.63
8,OCBC SECURITIES PRIVATE LTD,"45,263,553",2.16
9,ONG SHEN CHIEH (WANG SHENGJIE),"45,219,600",2.16
10,RHB SECURITIES SINGAPORE PTE LTD,"45,001,400",2.15
11,RAFFLES NOMINEES (PTE) LTD,"42,928,300",2.05
12,PHILLIP SECURITIES PTE LTD,"25,481,000",1.22
13,ASDEW ACQUISITIONS PTE LTD,"25,334,800",1.12
14,MALCOLM KOO CHIN WEI,"24,144,612",1.15
15,MAYBANK KIM ENG SECURITIES PTE. LTD.,"22,126,208",1.06
16,MERRILL LYNCH (SINGAPORE) PTE LTD,"20,854,789",1.00
17,TAN YONG CHUAN,"18,505,000",0.88
18,UNITED OVERSEAS BANK NOMINEES PTE LTD,"14,203,000",0.68
19,LOW POH KUAN,"13,500,000",0.65
20,KELVIN TONG WEE CHIANG,"13,101,887",0.63
,TOTAL,"1,065,437,362",50.91
