NO.,SHAREHOLDER’S NAME,SHARES HELD,%
1,KOH WEE MENG,"4,265,500,000",63.54
2,LIM WAN LOOI,"603,800,000",8.99
3,DBS NOMINEES PTE LTD,"338,228,200",5.04
4,HONG LEONG FINANCE NOMINEES PTE LTD,"307,602,200",4.58
5,CITIBANK NOMINEES SINGAPORE PTE LTD,"168,023,067",2.50
6,SING INVESTMENT AND FINANCE NOMINEES PTE LTD,"155,475,200",2.32
7,UNITED OVERSEAS BANK NOMINEES PTE LTD,"122,515,800",1.82
8,MAYBANK KIM ENG SECURITIES PTE. LTD.,"52,758,953",0.79
9,TAN SU KIOK OR SIA LI WEI JOLIE (SHE LIWEI JOLIE),"51,122,000",0.76
10,JIMMY LEE PENG SIEW,"49,512,000",0.74
11,PHILLIP SECURITIES PTE LTD,"41,943,400",0.62
12,UOB KAY HIAN PTE LTD,"36,422,100",0.54
13,CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,"21,431,346",0.32
14,LIM KWEE HUA (LIN GUIHUA),"16,932,000",0.25
15,LEE AH POY,"16,693,000",0.25
16,RAFFLES NOMINEES (PTE) LIMITED,"15,730,300",0.23
17,KOH KIAN SOO,"13,870,000",0.21
18,OCBC NOMINEES SINGAPORE PTE LTD,"9,859,700",0.15
19,LAI CHOOI FOONG,"7,596,000",0.11
20,LAU SING @ LIEW SING HUN,"7,192,000",0.11
,TOTAL,"6,302,207,266",93.87
