SIZE OF SHAREHOLDINGS,SHAREHOLDERS,%,SHARES,%
1  -  99,0,0.00,0,0.00
"100  -  1,000",25,5.30,"13,800",0.01
"1,001  -  10,000",174,36.86,"1,174,800",0.57
"10,001  -  1,000,000",259,54.87,"18,835,600",9.19
"1,000,001 AND ABOVE",14,2.97,"184,975,800",90.23
TOTAL,472,100.00,"205,000,000",100.00
SHAREHOLDING HELD IN HANDS OF PUBLIC,,,,
,"AS AT 11 APRIL 2019, THE PERCENTAGE OF SHAREHOLDINGS HELD IN THE HANDS OF THE PUBLIC WAS APPROXIMATELY",,,
,16.9%  AND  RULE  723  OF  THE  LISTING  MANUAL  SECTION  B:  RULE  OF  CATALIST  OF  THE  SINGAPORE  EXCHANGE,,,
SECURITIES TRADING LIMITED IS COMPLIED WITH.,,,,
TOP 20 SHAREHOLDERS LIST,,,,
,,,NUMBER OF,
S/NO,NAME OF SHAREHOLDER,,SHARES,%*
1,LOW YIK JIN,,"71,115,000",34.70
2,DBS NOMINEES (PRIVATE) LIMITED,,"39,787,300",19.41
3,LOW YIK SEN,,"35,557,500",17.35
4,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,"8,702,100",4.24
5,MAYBANK KIM ENG SECURITIES PTE. LTD.,,"8,345,100",4.07
6,PHILLIP SECURITIES PTE LTD,,"5,287,600",2.58
7,CHIEN CHUNG MING,,"4,678,600",2.28
8,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,"2,785,000",1.36
9,LIM CHEE CHYN,,"2,000,000",0.98
10,HSBC (SINGAPORE) NOMINEES PTE LTD,,"1,576,600",0.77
11,OCBC SECURITIES PRIVATE LIMITED,,"1,552,600",0.76
12,RAFFLES NOMINEES (PTE.) LIMITED,,"1,266,200",0.62
13,LIM & TAN SECURITIES PTE LTD,,"1,171,400",0.57
14,UOB KAY HIAN PRIVATE LIMITED,,"1,150,800",0.56
15,RHB SECURITIES SINGAPORE PTE. LTD.,,"977,500",0.48
16,HONG LEONG FINANCE NOMINEES PTE LTD,,"850,000",0.41
17,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,"716,600",0.35
18,HO HEE TECK GERALD,,"618,600",0.30
19,HARALALKA ATIMA,,"600,000",0.29
20,CITIBANK NOMINEES SINGAPORE PTE LTD,,"484,900",0.24
,TOTAL,,"189,223,400",92.32
,*  THE  PERCENTAGE  OF  SHAREHOLDINGS  IS  CALCULATED  BASED  ON  THE  NUMBER  OF  ISSUED  ORDINARY  SHARES  (EXCLUDING  TREASURY  SHARES  AND,,,
SUBSIDIARY HOLDINGS) OF THE COMPANY AS AT 11 APRIL 2019.,,,,
