SIZE OF SHAREHOLDINGS,,SHAREHOLDERS,%*,SHARES,%*
Jan-99,,"6,344",10.4,"240,880",0.01
"100 - 1,000",,"23,219",38.07,"13,068,379",0.51
"1,001 - 10,000",,"27,093",44.43,"86,344,776",3.38
"10,001 - 1,000,000",,"4,298",7.05,"144,294,548",5.64
"1,000,001 AND ABOVE",,28,0.05,"2,314,323,351",90.46
TOTAL,,"60,982",100,"2,558,271,934",100
LOCATION OF SHAREHOLDERS,,,,,
SINGAPORE,,"45,595",74.77,"2,500,747,524",97.75
MALAYSIA,,"1,864",3.06,"10,991,705",0.43
OVERSEAS,,"13,523",22.17,"46,532,705",1.82
TOTAL,,"60,982",100,"2,558,271,934",100
TWENTY LARGEST SHAREHOLDERS,,,,,
,(AS SHOWN IN THE REGISTER OF MEMBERS AND DEPOSITORY REGISTER),,,,
,,,,NO. OF,
NAME OF SHAREHOLDERS,,,,SHAREHOLDINGS,%*
1,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"506,992,498",19.82
2,DBS NOMINEES PTE LTD,,,"460,879,705",18.02
3,MAJU HOLDINGS PTE. LTD.,,,"458,899,869",17.94
4,DBSN SERVICES PTE LTD,,,"310,853,569",12.15
5,TEMASEK HOLDINGS (PRIVATE) LTD,,,"284,145,301",11.11
6,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"149,069,623",5.83
7,RAFFLES NOMINEES (PTE) LIMITED,,,"43,871,205",1.71
8,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"28,427,654",1.11
9,LEE FOUNDATION,,,"11,191,714",0.44
,10  UNITED OVERSEAS BANK NOMINEES PTE LTD,,,"8,567,336",0.33
11,BNP PARIBAS NOMINEES SINGAPORE PTE LTD,,,"6,610,128",0.26
12,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"6,099,589",0.24
13,DB NOMINEES (SINGAPORE) PTE LTD,,,"5,286,936",0.21
,14  OCBC SECURITIES PRIVATE LTD,,,"4,281,817",0.17
,15  OCBC NOMINEES SINGAPORE PTE LTD,,,"3,846,531",0.15
,16  MERRILL LYNCH (SINGAPORE) PTE LTD,,,"3,275,137",0.13
17,PHILLIP SECURITIES PTE LTD,,,"3,110,492",0.12
,18  MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,,"2,700,641",0.11
19,UOB KAY HIAN PTE LTD,,,"2,607,912",0.1
20,SOCIETE GENERALE SINGAPORE BRANCH,,,"2,504,235",0.1
TOTAL,,,,"2,303,221,892",90.05
