SIZE OF SHAREHOLDINGS,SHAREHOLDERS,%,SHARES,%
"1  
 
 
–   99",91,20.36,"1,195",0.00
"100  
 
–   1,000",90,20.13,"78,182",0.02
"1,001   
–   10,000",102,22.82,"530,610",0.15
"10,001 
–   1,000,000",142,31.77,"16,274,819",4.51
"1,000,001 & ABOVE",22,4.92,"343,710,112",95.32
TOTAL,447,100.00,"360,594,918",100.00
,,,NO. OF,
TOP TWENTY SHAREHOLDERS AS AT 18 DECEMBER 2018,,,SHARES,%
CITRINE CAPITAL PTE LTD,,,"79,000,794",21.91
HONG LEONG FINANCE NOMINEES PTE LTD,,,"56,500,000",15.67
KOH CHIN KIM,,,"45,780,000",12.70
DB NOMINEES (SINGAPORE) PTE LTD,,,"35,246,000",9.77
TAN CHEE BENG,,,"27,795,000",7.71
TAN CHEE TIONG,,,"22,917,400",6.36
TAN BEE BEE,,,"21,208,700",5.88
RHB SECURITIES SINGAPORE PTE LTD,,,"14,710,800",4.08
SBS NOMINEES PTE LTD,,,"9,760,000",2.71
CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,,,"4,085,299",1.13
SNG SIEW LIN,,,"3,985,500",1.11
WEE HUI HIAN,,,"3,024,000",0.84
TEO YOKE KWAN,,,"2,734,400",0.76
DBS NOMINEES PTE LTD,,,"2,606,719",0.72
TAN KIM SENG,,,"2,559,500",0.71
DIANA SNG SIEW KHIM,,,"2,500,800",0.69
RAFFLES NOMINEES (PTE) LIMITED,,,"2,459,100",0.68
SEAH KHENG LUN,,,"2,000,000",0.55
YEO KOK HIONG,,,"1,480,000",0.41
MAYBANK KIM ENG SECURITIES PTE. LTD.,,,"1,169,800",0.32
,,,"341,523,812",94.71
