NO.,NAME OF SHAREHOLDERS,,NO. OF SHARES,
,,,,SHARE CAPITAL
1,HORWOOD CAPITAL PTE LIMITED,,"150,000,000",16.38
2,"PME INVESTMENTS (BVI) CO., LTD.",,"100,000,000",10.92
3,SPLENDID DIAMOND HOLDINGS LIMITED,,"91,000,000",9.93
4,HONOR HOLDINGS LIMITED,,"90,000,000",9.83
5,RHB SECURITIES SINGAPORE PTE. LTD.,,"70,020,000",7.64
6,CITIBANK NOMINEES SINGAPORE PTE LTD,,"49,576,300",5.41
7,WONG SEONG KHUEN @KWAN SEONG KHUEN,,"23,120,000",2.52
8,NG TIAN HUAT,,"19,348,500",2.11
9,DBS NOMINES (PRIVATE) LIMITED,,"18,501,620",2.02
10,OCBC SECURITIES PRIVATE LIMITED,,"16,059,118",1.75
11,PHILLIP SECURITIES PTE LTD,,"15,377,410",1.68
12,NG KIM KHUAN,,"12,929,250",1.41
13,UNITED OCWESEAS BANK NOMINEES(PRIVATE) LIMITED,,"11,502,100",1.26
14,LIM HUN CHING,,"8,968,000",0.98
15,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,"8,959,500",0.98
16,TAN LYE SENG,,"6,354,400",0.69
17,SCE ENTERPRISE PTE. LTD.,,"5,550,000",0.61
18,YEO HOON SENG,,"4,350,000",0.47
19,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,"3,625,400",0.40
20,KIM LENG CHOON,,"3,050,500",0.33
,TOTAL,,"708,292,098",77.32
