,TOP TWENTY SHAREHOLDERS AS AT 17 DECEMBER 2018,NO. OF SHARES,%
1,DBS NOMINEES PTE LTD,"778,326,306",22.11
2,UOB KAY HIAN PTE LTD,"338,698,713",9.62
3,PENGUIN  INTERNATIONAL LIMITED,"303,571,428",8.62
4,YANLORD CAPITAL PTE LTD,"303,571,428",8.62
5,RHB SECURITIES SINGAPORE PTE LTD,"210,588,174",5.98
6,RAFFLES NOMINEES (PTE) LIMITED,"151,876,914",4.31
7,LIM CHAP HUAT,"151,785,714",4.31
8,OVERSEA CHINESE BANK NOMINEES PTE LTD,"132,152,156",3.75
9,SINGAPORE ENTERPRISES PTE LTD,"86,618,414",2.46
10,CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,"79,395,127",2.26
11,SF VENTURES PTE LTD,"57,142,857",1.62
12,CATERPILLAR FINANCIAL SERVICES ASIA PTE LTD,"48,858,171",1.39
13,HO LEE GROUP PTE LTD,"40,535,715",1.15
14,KINGPIN INVESTMENT (PTE LTD),"34,780,351",0.99
15,UNITED OVERSEAS BANK NOMINEES PTE LTD,"33,710,300",0.96
16,PAVILION CAPITAL FUND HOLDINGS PTE LTD,"32,859,000",0.93
17,OCBC SECURITIES PRIVATE LTD,"29,709,711",0.84
18,CITIBANK NOMINEES SINGAPORE PTE LTD,"26,739,000",0.76
19,MAYBANK KIM ENG SECURITIES PTE.LTD.,"21,549,048",0.61
20,PHILLIP SECURITIES PTE LTD,"19,542,500",0.56
,,"2,882,011,027",81.87
