,NAME,,NUMBER OF SHARES,%2
1,TEMASEK HOLDINGS (PRIVATE) LIMITED,,"657,306,600",55.58
2,CITIBANK NOMINEES SINGAPORE PTE LTD,,"127,519,131",10.78
3,DBS NOMINEES (PRIVATE) LIMITED,,"121,564,847",10.28
4,HSBC (SINGAPORE) NOMINEES PTE LTD,,"38,035,841",3.22
5,DBSN SERVICES PTE LTD,,"30,038,422",2.54
6,RAFFLES NOMINEES (PTE) LIMITED,,"15,373,541",1.30
7,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,"11,736,339",0.99
8,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,"7,452,868",0.63
9,DB NOMINEES (SINGAPORE) PTE LTD,,"3,472,284",0.29
10,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,"2,290,522",0.20
11,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,"2,052,998",0.17
12,"ESTATE OF CHANG SHYH JIN, DECEASED",,"2,007,940",0.17
13,MERRILL LYNCH (SINGAPORE) PTE LTD,,"1,329,718",0.11
14,SOCIETE GENERALE SINGAPORE BRANCH,,"1,185,439",0.10
15,UOB KAY HIAN PRIVATE LIMITED,,"1,171,923",0.10
16,GOH KIA SENG,,"975,800",0.08
17,PHILLIP SECURITIES PTE LTD,,"939,635",0.08
18,OCBC SECURITIES PRIVATE LIMITED,,"800,482",0.07
19,TAN KIM SIAH,,"800,000",0.07
20,HL BANK NOMINEES (SINGAPORE) PTE LTD,,"792,200",0.07
,TOTAL,,"1,026,846,530",86.83
