NO.,NAME OF UNITHOLDERS,NUMBER OF UNITS,%
1.,DBS NOMINEES (PRIVATE) LIMITED,"488,519,800",41.09
2.,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,"274,741,500",23.11
3.,CITIBANK NOMINEES SINGAPORE PTE LTD,"67,957,300",5.72
4.,PHILLIP SECURITIES PTE LTD,"66,253,500",5.57
5.,BPSS NOMINEES SINGAPORE (PTE.) LTD.,"58,800,800",4.95
6.,DBSN SERVICES PTE. LTD.,"38,146,100",3.21
7.,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,"37,061,600",3.12
8.,RAFFLES NOMINEES (PTE.) LIMITED,"34,606,100",2.91
9.,OCBC SECURITIES PRIVATE LIMITED,"26,214,700",2.20
10.,CKK HOLDINGS PTE LTD,"12,500,000",1.05
11.,UOB KAY HIAN PRIVATE LIMITED,"11,701,900",0.98
12.,SASSEUR ASSET MANAGEMENT PTE LTD,"8,673,352",0.73
13.,DB NOMINEES (SINGAPORE) PTE LTD,"6,604,000",0.56
14.,HEXACON CONSTRUCTION PTE LTD,"4,500,000",0.38
15.,MERRILL LYNCH (SINGAPORE) PTE. LTD.,"3,415,800",0.29
16.,IFAST FINANCIAL PTE. LTD.,"3,041,000",0.26
17.,MAYBANK KIM ENG SECURITIES PTE. LTD.,"2,784,400",0.23
18.,LIEW CHEE KONG,"2,057,000",0.17
19.,HSBC (SINGAPORE) NOMINEES PTE LTD,"1,696,200",0.14
20.,CHUA LEONG HAI @CHUA LEANG HAI,"1,500,000",0.13
