NO.,NAME,NO. OF UNITS,%
1,DBS NOMINEES (PRIVATE) LIMITED,"215,969,229",34.17
2,CITIBANK NOMINEES SINGAPORE PTE LTD,"140,836,306",22.28
3,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,"56,162,442",8.89
4,DB NOMINEES (SINGAPORE) PTE LTD,"51,295,000",8.12
5,RAFFLES NOMINEES (PTE.) LIMITED,"37,034,407",5.86
6,PHILLIP SECURITIES PTE LTD,"11,518,025",1.82
7,LIM CHAP HUAT,"7,311,450",1.16
8,MAYBANK KIM ENG SECURITIES PTE. LTD.,"3,700,150",0.59
9,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"3,208,245",0.51
10,DBSN SERVICES PTE. LTD.,"2,983,750",0.47
11,UOB KAY HIAN PRIVATE LIMITED,"2,966,800",0.47
12,ABN AMRO CLEARING BANK N.V.,"2,901,300",0.46
13,OCBC SECURITIES PRIVATE LIMITED,"2,460,150",0.39
14,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"1,478,205",0.23
15,NG CHENG HWA,"1,300,000",0.21
16,RHB SECURITIES SINGAPORE PTE. LTD.,"1,141,750",0.18
17,HSBC (SINGAPORE) NOMINEES PTE LTD,"1,039,255",0.16
18,BNP PARIBAS NOMINEES SINGAPORE PTE. LTD.,"998,585",0.16
19,MEREN PTE LTD,"977,400",0.15
20,LOH JIN,"935,800",0.15
,TOTAL,"546,218,249",86.43
