,"SIZE OF SHAREHOLDINGS
SHAREHOLDERS",%,NO. OF SHARES,%
1-99,5,0.39,221,0.00
"100-1,000",112,8.73,"98,058",0.01
"1,001 – 10,000",471,36.74,"2,675,774",0.24
"10,001 – 1,000,000",648,50.55,"63,004,046",5.54
"1,000,001 & ABOVE",46,3.59,"1,071,203,851",94.21
TOTAL,"1,282",100.00,"1,136,981,950",100.00
TWENTY LARGEST SHAREHOLDERS AS AT 20 MARCH 2019,,,,
,,,NO. OF SHARES,%
1,RAFFLES NOMINEES (PTE) LIMITED,,"619,768,890",54.51
2,MANHATTAN INVESTMENTS PTE LTD,,"88,701,764",7.80
3,CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,,"83,478,394",7.34
4,TSAO YUE HWA JOHNNY @ SHU YUE MING,,"45,180,800",3.97
5,DBS NOMINEES PTE LTD,,"37,226,200",3.28
6,MOHAMED ABDUL JALEEL S/O MUTHUMARICAR SHAIK MOHAMED,,"24,216,000",2.13
7,PHILLIP SECURITIES PTE LTD,,"19,569,095",1.72
8,MAYBANK KIM ENG SECURITIES PTE.LTD.,,"14,321,300",1.26
9,CITIBANK NOMINEES SINGAPORE PTE LTD,,"13,801,500",1.21
10,YUAN RUIDUO,,"13,676,600",1.20
11,UOB KAY HIAN PTE LTD,,"9,280,900",0.82
12,OCBC SECURITIES PRIVATE LTD,,"9,017,300",0.79
13,CHENG YIN MUI OR HO SING MING,,"8,147,208",0.72
14,ONG SEE BENG,,"7,540,000",0.66
15,LEE DEBORAH CHEUNG,,"5,970,000",0.53
16,CHAU WUN,,"5,660,600",0.50
17,CHEW KENG CHUAN,,"5,635,000",0.50
18,LOW YI NGO,,"5,341,200",0.47
19,HSBC (SINGAPORE) NOMINEES PTE LTD,,"3,959,000",0.35
20,LOW CHENG LUM,,"2,965,500",0.26
,TOTAL,,"1,023,457,251",90.02
