NO.,NAME,NO. OF UNITS,%
1,CITIBANK NOMINEES SINGAPORE PTE LTD,"763,819,553",20.72
2,DBS NOMINEES (PRIVATE) LIMITED,"591,513,050",16.04
3,PYRAMEX INVESTMENTS PTE LTD,"571,784,814",15.51
4,DBSN SERVICES PTE. LTD.,"370,470,972",10.05
5,HSBC (SINGAPORE) NOMINEES PTE LTD,"281,722,542",7.64
6,ALBERT COMPLEX PTE LTD,"279,300,000",7.58
7,PREMIER HEALTHCARE SERVICES INTERNATIONAL PTE LTD,"149,052,875",4.04
8,RAFFLES NOMINEES (PTE.) LIMITED,"132,628,943",3.60
9,NTUC FAIRPRICE CO-OPERATIVE LTD,"92,419,300",2.51
10,CAPITALAND MALL TRUST MANAGEMENT LIMITED,"48,683,656",1.32
11,ALPHAPLUS INVESTMENTS PTE LTD,"48,127,000",1.31
12,BPSS NOMINEES SINGAPORE (PTE.) LTD.,"31,629,617",0.86
13,MERRILL LYNCH (SINGAPORE) PTE. LTD.,"20,472,396",0.56
14,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,"14,851,047",0.40
15,DB NOMINEES (SINGAPORE) PTE LTD,"13,417,954",0.36
16,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"6,515,265",0.18
17,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"4,864,471",0.13
18,OCBC SECURITIES PRIVATE LIMITED,"4,389,250",0.12
19,SOCIETE GENERALE SPORE BRANCH,"4,151,400",0.11
20,BNP PARIBAS NOMINEES SINGAPORE PTE. LTD.,"3,896,215",0.11
TOTAL,,"3,433,710,320",93.15
