NO. NAME,,,,NO. OF UNITS,%
1,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"180,050,684",17.10
2,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"86,498,798",8.21
3,DBS NOMINEES (PRIVATE) LIMITED,,,"84,845,263",8.06
4,RHB BANK NOMINEES PTE LTD,,,"55,978,400",5.32
5,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"45,722,867",4.34
6,RAFFLES NOMINEES (PTE.) LIMITED,,,"42,361,682",4.02
7,SABANA REAL ESTATE INVESTMENT MANAGEMENT PTE. LTD.,,,"41,242,726",3.92
8,RHB SECURITIES SINGAPORE PTE. LTD.,,,"30,073,226",2.86
9,DBSN SERVICES PTE. LTD.,,,"24,950,111",2.37
10,DB NOMINEES (SINGAPORE) PTE LTD,,,"21,247,191",2.02
11,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"15,930,666",1.51
12,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,,"8,811,115",0.84
13,OCBC SECURITIES PRIVATE LIMITED,,,"8,681,726",0.82
14,MEREN PTE LTD,,,"8,600,000",0.82
15,MAYBANK NOMINEES (SINGAPORE) PRIVATE LIMITED,,,"7,000,000",0.66
16,MAYBANK KIM ENG SECURITIES PTE. LTD.,,,"6,810,097",0.65
17,PHILLIP SECURITIES PTE LTD,,,"6,197,060",0.59
18,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,,"6,011,289",0.57
19,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,,"4,417,711",0.42
20,SNG KAY BOON TERENCE,,,"3,588,576",0.34
,TOTAL,,,"689,019,188",65.44
