"(II) 
IMPAIRMENT OF FINANCIAL ASSETS",NAME OF SHAREHOLDERS,,,,NO. OF SHARES,%
,"1
CITIBANK NOMINEES SINGAPORE PTE LTD",,,,"372,849,964",19.69
THE  GROUP  PLANS  TO  APPLY  THE  SIMPLIFIED  APPROACH  AND  RECORD  LIFETIME  EXPECTED  IMPAIRMENT  LOSSES  ON,,,,,,
,"2
DBS NOMINEES PTE LTD",,,,"289,781,629",15.30
"ALL  TRADE  RECEIVABLES.  ON  ADOPTION  OF  SFRS(I)  9,  THE  GROUP  DOES  NOT  EXPECT  A  SIGNIFICANT  INCREASE  IN  THE",,,,,,
,"3
DBSN SERVICES PTE LTD",,,,"266,361,058",14.07
IMPAIRMENT LOSS ALLOWANCE.,"4
HSBC (SINGAPORE) NOMINEES PTE LTD",,,,"248,232,478",13.11
,"5
RAFFLES NOMINEES (PTE) LTD",,,,"213,792,944",11.29
THE GROUP PLANS TO ADOPT THE STANDARD WHEN IT BECOMES EFFECTIVE IN 2019 WITHOUT RESTATING COMPARATIVE,"6
BPSS NOMINEES SINGAPORE (PTE.) LTD.",,,,"117,208,820",6.19
,"7
DBS VICKERS SECURITIES (S) PTE LTD",,,,"23,277,062",1.23
INFORMATION AND IS GATHERING DATA TO QUANTIFY THE POTENTIAL IMPACT ARISING FROM THE ADOPTION.,,,,,,
,"8
PHILLIP SECURITIES PTE LTD",,,,"19,254,223",1.02
,"9
UOB KAY HIAN PTE LTD",,,,"10,170,317",0.54
"(C) 
ADOPTION OF SFRS(I) EQUIVALENT OF IFRS 15",,,,,,
,"10
CHONG YEAN FONG",,,,"9,628,400",0.51
,"11
OCBC SECURITIES PRIVATE LTD",,,,"6,555,616",0.35
THE GROUP HAD ASSESSED THE REVENUE RECOGNITION IN ACCORDANCE TO THE REQUIREMENT OF SFRS(I) EQUIVALENT OF IFRS,"12
UNITED OVERSEAS BANK NOMINEES PTE LTD",,,,"6,101,829",0.32
15 AND MANAGEMENT DOES NOT EXPECT ANY SIGNIFICANT ADJUSTMENTS TO THE GROUP’S FINANCIAL STATEMENTS.,"13
OCBC NOMINEES SINGAPORE PTE LTD",,,,"5,500,602",0.29
,"14
ABN AMRO CLEARING BANK N.V.",,,,"5,017,251",0.26
,"15
LIM & TAN SECURITIES PTE LTD",,,,"4,910,395",0.25
"(D) 
SUMMARY OF PROVISIONAL FINANCIAL IMPACT",,,,,,
,"16
CGS-CIMB SECURITIES (S) PTE LTD",,,,"4,120,227",0.22
,"17
SUMMIT NOMINEES SDN BHD",,,,"4,000,000",0.21
THE LINE ITEMS ON THE GROUP’S FINANCIAL STATEMENTS THAT MAY BE ADJUSTED WITH SIGNIFICANT IMPACT ARISING FROM THE,,,,,,
,"18
MAYBANK KIM ENG SECURITIES PTE LTD",,,,"2,776,732",0.15
ADOPTION OF SFRS(I) AS DESCRIBED ABOVE ARE SUMMARISED BELOW:,,,,,,
,"19
WEE HIAN NAM",,,,"2,612,000",0.14
,"20
CHENG SHAO SHIONG @BERTIE CHENG",,,,"2,420,600",0.13
"(PROVISIONAL)
(PROVISIONAL)",TOTAL,,,,"1,614,572,147",85.27
"AS AT 31 MARCH 
AS AT 1 APRIL 
AS AT 1 APRIL 
AS AT 1 APRIL",,,,,,
