NO.,NAME,SHARES HELD,SHARE CAPITAL (1)
1,TEMASEK HOLDINGS (PRIVATE) LIMITED,"8,132,818,602",49.81
2,CITIBANK NOMINEES SINGAPORE PTE LTD,"1,966,961,431",12.05
3,DBS NOMINEES (PRIVATE) LIMITED,"1,705,277,420(2)",10.44
4,DBSN SERVICES PTE LTD,"987,327,995",6.05
5,CENTRAL PROVIDENT FUND BOARD,"842,949,906",5.16
6,HSBC (SINGAPORE) NOMINEES PTE LTD,"612,565,383",3.75
7,ATRIUM INVESTMENTS PTE LTD,"385,581,351",2.36
8,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"236,173,687",1.45
9,RAFFLES NOMINEES (PTE) LTD,"196,333,123",1.20
10,BPSS NOMINEES SINGAPORE (PTE.) LTD.,"130,362,240",0.80
11,SOCIETE GENERALE SINGAPORE BRANCH,"36,296,624",0.22
12,DB NOMINEES (SINGAPORE) PTE LTD,"34,230,868",0.21
13,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"30,118,421",0.18
14,MAYBANK KIM ENG SECURITIES PTE LTD,"24,750,597",0.15
15,OCBC SECURITIES PRIVATE LTD,"16,705,675",0.10
16,PHILLIP SECURITIES PTE LTD,"15,047,593",0.09
17,UOB KAY HIAN PTE LTD,"10,879,016",0.07
18,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,"10,728,985",0.07
19,MERRILL LYNCH (SINGAPORE) PTE LTD,"10,187,942",0.06
20,BNP PARIBAS NOMINEES SINGAPORE PTE LTD,"8,229,085",0.05
,,"15,393,525,944",94.27
NOTES:,,,
(1),"THE PERCENTAGE OF ISSUED ORDINARY SHARES IS CALCULATED BASED ON THE NUMBER OF ISSUED ORDINARY SHARES OF THE COMPANY AS AT 23 MAY 2018,",,
,"EXCLUDING 579,176 ORDINARY SHARES HELD AS TREASURY SHARES AS AT THAT DATE.",,
(2),"EXCLUDES 579,176 ORDINARY SHARES HELD BY DBS NOMINEES (PRIVATE) LIMITED AS TREASURY SHARES FOR THE ACCOUNT OF THE COMPANY.",,
251,,,
