NO.,NAME,NO. OF UNITS,%
1,HUTCHISON PORT GROUP HOLDINGS LIMITED,"2,406,227,022",27.62
2,CITIBANK NOMINEES SINGAPORE PTE LTD,"1,583,489,526",18.18
3,PORTCAPITAL LIMITED,"905,364,000",10.39
4,DBS NOMINEES (PRIVATE) LIMITED,"632,707,210",7.26
5,PSA INTERNATIONAL PTE LTD,"330,814,600",3.80
6,RAFFLES NOMINEES (PTE.) LIMITED,"329,340,287",3.78
7,DBSN SERVICES PTE. LTD.,"315,118,332",3.62
8,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,"248,997,055",2.86
9,BNP PARIBAS NOMINEES SINGAPORE PTE. LTD.,"225,811,877",2.59
10,HSBC (SINGAPORE) NOMINEES PTE LTD,"194,653,615",2.23
11,DB NOMINEES (SINGAPORE) PTE LTD,"72,124,009",0.83
12,UOB KAY HIAN PRIVATE LIMITED,"43,498,039",0.50
13,OCBC SECURITIES PRIVATE LIMITED,"40,596,811",0.47
14,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,"38,635,531",0.44
15,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"34,317,335",0.39
16,MERRILL LYNCH (SINGAPORE) PTE. LTD.,"31,464,183",0.36
17,MAYBANK KIM ENG SECURITIES PTE. LTD.,"31,073,689",0.36
18,PHILLIP SECURITIES PTE LTD,"27,580,831",0.32
19,BPSS NOMINEES SINGAPORE (PTE.) LTD.,"23,442,871",0.27
20,GOH KIA SENG,"19,136,500",0.22
,TOTAL,"7,534,393,323",86.49
