NO.,NAME OF SHAREHOLDERS,NUMBER OF SHARES,TREASURY SHARES)
1.,GENTING OVERSEAS HOLDINGS LIMITED,"6,353,685,269",52.69
2.,CITIBANK NOMINEES SINGAPORE PTE LTD,"1,153,904,151",9.57
3.,DBS NOMINEES PTE LTD,"766,024,555",6.35
4.,DBSN SERVICES PTE LTD,"441,310,481",3.66
5.,HSBC (SINGAPORE) NOMINEES PTE LTD,"269,865,011",2.24
6.,RAFFLES NOMINEES (PTE.) LIMITED,"230,784,086",1.91
7.,PHILLIP SECURITIES PTE LTD,"208,813,657",1.73
8.,RHB SECURITIES SINGAPORE PTE LTD,"181,340,360",1.50
9.,OCBC SECURITIES PRIVATE LTD,"115,419,269",0.96
10.,CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,"85,338,464",0.71
11.,UOB KAY HIAN PTE LTD,"81,578,773",0.68
12.,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,"50,423,137",0.42
13.,MAYBANK KIM ENG SECURITIES PTE. LTD.,"42,120,643",0.35
14.,UNITED OVERSEAS BANK NOMINEES PTE LTD,"35,975,447",0.30
15.,DB NOMINEES (SINGAPORE) PTE LTD,"33,300,363",0.28
16.,BNP PARIBAS NOMINEES SINGAPORE PTE LTD,"32,464,890",0.27
17.,MERRILL LYNCH (SINGAPORE) PTE LTD,"22,069,906",0.18
18.,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,"21,248,188",0.18
19.,BPSS NOMINEES SINGAPORE (PTE.) LTD.,"19,596,631",0.16
20.,TAN HEE TECK,"15,750,000",0.13
,TOTAL,"10,161,013,281",84.27
