,NO.,NAME,,SECURITIES,%
,1,GOLDEN DEVELOPMENT PRIVATE LIMITED,,"420,989,092",22.45
,2,GOLDEN LANDMARK PTE. LTD.,,"197,682,633",10.54
,3,FAR EAST ORGANIZATION CENTRE PTE LTD,,"187,892,598",10.02
,4,OXLEY HILL PROPERTIES PTE LTD,,"159,214,054",8.49
,5,CITIBANK NOMINEES SINGAPORE PTE LTD,,"153,846,752",8.21
,6,DBS NOMINEES (PRIVATE) LIMITED,,"112,385,369",5.99
,7,RIVERLAND PTE LTD,,"82,754,081",4.41
,8,FEO HOSPITALITY ASSET MANAGEMENT PTE. LTD.,,"73,955,703",3.94
,9,HSBC (SINGAPORE) NOMINEES PTE LTD,,"62,105,574",3.31
,10,DBSN SERVICES PTE. LTD.,,"50,918,236",2.72
,11,RAFFLES NOMINEES (PTE.) LIMITED,,"43,238,510",2.31
,12,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,"13,682,344",0.73
,13,STC INTERNATIONAL HOLDINGS PTE LTD,,"13,493,000",0.72
,14,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,"9,096,865",0.49
,15,MAYBANK KIM ENG SECURITIES PTE. LTD.,,"7,816,447",0.42
,16,OCBC SECURITIES PRIVATE LIMITED,,"4,672,951",0.25
,17,UOB KAY HIAN PRIVATE LIMITED,,"3,761,042",0.20
,18,PHILLIP SECURITIES PTE LTD,,"3,487,352",0.19
,19,DB NOMINEES (SINGAPORE) PTE LTD,,"3,366,086",0.18
,20,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,"3,107,027",0.17
,,TOTAL,,"1,607,465,716",85.74
