S/NO. NAME,,NO. OF SHARES,% OF SHARES
1,OEI HONG LEONG,"134,565,569",9.76
2,DB NOMINEES (SINGAPORE) PTE LTD,"112,070,002",8.13
3,CITIBANK NOMINEES SINGAPORE PTE LTD,"108,308,778",7.86
4,SING INVESTMENT & FINANCE NOMINEES PTE LTD,"91,650,000",6.65
5,RHB SECURITIES SINGAPORE PTE LTD,"67,533,956",4.90
6,GUTHRIE VENTURE PTE LTD,"61,750,000",4.48
7,SBS NOMINEES PTE LTD,"51,427,998",3.73
8,CHEW HUA SENG OR DORIS CHUNG GIM LIAN,"51,019,763",3.70
9,OEI HONG LEONG ART MUSEUM LIMITED,"43,353,440",3.14
10,RAFFLES NOMINEES (PTE) LTD,"40,714,748",2.95
11,HL BANK NOMINEES (SINGAPORE) PTE LTD,"40,539,200",2.94
12,LIU YINGCHUN,"39,099,800",2.84
13,DBS NOMINEES PTE LTD,"37,644,369",2.73
14,OCBC SECURITIES PRIVATE LTD,"34,183,843",2.48
15,DORIS CHUNG GIM LIAN,"24,943,159",1.81
16,WATERWORTH PTE LTD,"23,400,000",1.70
17,GOI SENG HUI,"18,042,400",1.31
18,LIM & TAN SECURITIES PTE LTD,"18,038,719",1.31
19,CHEW CHIEW SIANG STEVEN,"17,848,130",1.29
20,CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,"17,728,452",1.29
,,"1,033,862,326",75.00
