NO.,NAME OF SHAREHOLDER,NUMBER OF SHARES HELD,% OF ISSUED SHARE CAPITAL (1)
1,ASIA MOBILE HOLDINGS PTE. LTD.,"965,845,290",55.82
2,NTT COMMUNICATIONS CORPORATION,"171,490,520",9.91
3,CITIBANK NOMINEES SINGAPORE PTE LTD,"110,582,305",6.39
4,DBS NOMINEES PTE LTD,"69,635,704",4.03
5,DBSN SERVICES PTE LTD,"24,914,296",1.44
6,HSBC (SINGAPORE) NOMINEES PTE LTD,"19,856,975",1.15
7,RAFFLES NOMINEES (PTE) LTD,"18,767,639",1.09
8,OH YUNG HSING ANDREW (HU RONGXIN ANDREW),"10,635,000",0.61
9,UNITED OVERSEAS BANK NOMINEES PTE LTD,"8,505,215",0.49
10,OCBC SECURITIES PRIVATE LIMITED,"7,660,470",0.44
11,OCBC NOMINEES SINGAPORE PTE LTD,"7,614,302",0.44
12,PHILLIP SECURITIES PTE LTD,"7,281,024",0.42
13,UOB KAY HIAN PTE LTD,"4,244,790",0.25
14,CHEN CHUN NAN,"3,850,000",0.22
15,DB NOMINEES (SINGAPORE) PTE LTD,"3,756,921",0.22
16,MAYBANK KIM ENG SECURITIES PTE. LTD.,"3,604,007",0.21
17,YEO KOK PIN,"3,544,000",0.20
18,CHOO PIANG WONG,"3,170,000",0.18
19,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,"2,409,190",0.14
20,MERRILL LYNCH (SINGAPORE) PTE LTD,"2,205,186",0.13
TOTAL,,"1,449,572,834",83.78
