"S
IZE OF SHAREHOLDINGS",,NO. OF SHAREHOLDERS,%,NO. OF SHARES,%
1 TO 99,,185,1.56,"4,911",0.00
"100 TO 1,000",,"1,447",12.17,"1,158,011",0.15
"1,001 TO 10,000",,"7,968",67.05,"36,557,525",4.77
"10,001 TO 1,000,000",,"2,258",19.00,"87,951,800",11.47
"1,000,001 AND ABOVE",,26,0.22,"640,962,213",83.61
TOTAL,,"11,884",100.00,"766,634,460",100.00
"T
WENTY LARGEST SHAREHOLDERS",,,,,
"N
AME",,,,NO. OF SHARES,%
1,WING SUN DEVELOPMENT PRIVATE LIMITED,,,"222,235,490",28.99
2,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"73,340,358",9.57
3,WINLYN INVESTMENT PTE LTD,,,"72,717,436",9.49
4,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"63,142,435",8.24
5,DBS NOMINEES PTE LTD,,,"57,117,243",7.45
6,UOB KAY HIAN PTE LTD,,,"41,037,149",5.35
7,RAFFLES NOMINEES (PTE) LTD,,,"20,789,774",2.71
8,EMPIRE GATE HOLDINGS LIMITED,,,"19,539,572",2.55
9,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"15,990,404",2.09
10,DBSN SERVICES PTE LTD,,,"13,269,353",1.73
11,UNITED OVERSEAS BANK NOMINEES PTE LTD,,,"10,146,895",1.32
12,OCBC SECURITIES PRIVATE LTD,,,"6,179,319",0.81
13,OCBC NOMINEES SINGAPORE PTE LTD,,,"4,355,228",0.57
14,WINWAY INVESTMENT PTE LTD,,,"3,529,166",0.46
15,DB NOMINEES (SINGAPORE) PTE LTD,,,"1,992,521",0.26
16,PHILLIP SECURITIES PTE LTD,,,"1,900,110",0.25
17,TAN HWEE BIN,,,"1,650,635",0.22
18,MAYBANK KIM ENG SECURITIES PTE LTD,,,"1,629,910",0.21
19,NANYANG GUM BENJAMIN MANUFACTURING (PTE) LTD,,,"1,609,000",0.21
20,SUNSHINE VENTURES PTE LTD,,,"1,500,000",0.20
