NO.,NAME,STAPLED SECURITIES,%
1,DB NOMINEES (SINGAPORE) PTE LTD,"726,548,099",38.53
2,FRASERS PROPERTY HOSPITALITY TRUST HOLDINGS PTE LTD,"426,207,157",22.60
3,DBS NOMINEES (PRIVATE) LIMITED,"205,925,766",10.92
4,CITIBANK NOMINEES SINGAPORE PTE LTD,"98,976,634",5.25
5,RAFFLES NOMINEES (PTE) LIMITED,"49,419,698",2.62
6,FRASERS HOSPITALITY ASSET MANAGEMENT PTE LTD,"20,054,379",1.06
7,DBSN SERVICES PTE. LTD.,"17,064,289",0.90
8,MEREN PTE LTD,"14,504,800",0.77
9,UOB KAY HIAN PRIVATE LIMITED,"13,060,885",0.69
10,FRASERS HOSPITALITY PTE LTD,"11,668,847",0.62
11,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"8,228,460",0.44
12,BNP PARIBAS NOMINEES SINGAPORE PTE LTD,"7,621,060",0.40
13,HSBC (SINGAPORE) NOMINEES PTE LTD,"7,246,396",0.38
14,OCBC SECURITIES PRIVATE LIMITED,"6,286,826",0.33
15,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,"5,827,845",0.31
16,PHILLIP SECURITIES PTE LTD,"5,427,148",0.29
17,RHB SECURITIES SINGAPORE PTE. LTD.,"5,199,259",0.28
18,MERRILL LYNCH (SPORE) PTE LTD,"4,576,144",0.24
19,JACK INVESTMENT PTE LTD,"3,539,500",0.19
20,LIEW CHEE KONG,"3,000,000",0.16
,TOTAL,"1,640,383,192",86.98
